8,50,16,50,11,30,13,30
8,50,16,50,11,30,13,30
-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
8,50,16,50,11,30,13,30
8,50,16,50,11,30,13,30
8,50,16,50,11,30,13,30
8,50,16,50,11,30,13,30
8,50,16,50,11,30,13,30
-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
8,50,16,50,11,30,13,30
8,50,16,50,11,30,13,30
8,50,16,50,11,30,13,30
8,50,16,50,11,30,13,30
8,50,16,50,11,30,13,30
8,50,16,50,11,30,14,00
-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
8,50,16,50,11,30,13,30
8,50,16,50,11,30,13,30
8,50,16,50,11,30,13,30
8,50,16,50,11,30,13,30
-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
8,50,16,50,11,30,13,30
10,00,15,00,11,30,13,00
8,50,15,00,11,30,13,30
